Numero billet;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Type de produit;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1400222;843989;04/06/15 00:00;16:26:04;476;FEMME NON-REEDUCABLE;3191;FEMME NON-REEDUCABLE;10/10/14;20:00:00;10/10/14;22:00:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400223;843990;04/06/15 00:00;16:26:04;477;Générale Publique Fever;3204;Générale Publique Fever;05/11/14;20:00:00;05/11/14;21:30:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400225;843991;04/06/15 00:00;16:26:04;479;L'HISTOIRE TERRIBLE... 2e EPOQUE;3218;L'HISTOIRE TERRIBLE... 2e EPOQUE;28/11/14;20:00:00;28/11/14;23:30:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400228;843992;04/06/15 00:00;16:26:04;482;LE ROI LEAR;3257;LE ROI LEAR;14/01/15;20:00:00;14/01/15;21:40:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400229;843986;04/06/15 00:00;16:26:04;483;JE SUIS;3268;JE SUIS;16/01/15;20:00:00;16/01/15;21:30:00;15;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400231;843994;04/06/15 00:00;16:26:04;499;HATE RADIO;3393;HATE RADIO;23/01/15;20:30:00;23/01/15;22:00:00;31;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400233;843993;04/06/15 00:00;16:26:04;485;CEUX QUE J'AI RENCONTRE...;3299;CEUX QUE J'AI RENCONTRE...;06/02/15;20:00:00;06/02/15;23:30:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400235;843987;04/06/15 00:00;16:26:04;490;LEBEN DES GALILEI;3329;LEBEN DES GALILEI;20/03/15;20:00:00;20/03/15;22:00:00;27;Abonnement;GUICHET;KEBIR;François-Jean;François-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1491869;838354;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12;Place individuelle;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;F
1491870;838354;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12;Place individuelle;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;F
1491871;838375;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12;Place individuelle;DIGITICK;SIGRIST;Camilla;Camilla.SIGRIST@mail.fr;145 Av Cacajao calvus;69007;France;;H
1491872;838453;02/06/15 00:00;10:28:43;497;QUARTETT;3376;QUARTETT;06/06/15;20:00:00;06/06/15;21:00:00;12;Place individuelle;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491873;838453;02/06/15 00:00;10:28:43;497;QUARTETT;3376;QUARTETT;06/06/15;20:00:00;06/06/15;21:00:00;20;Place individuelle;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491874;838564;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12;Place individuelle;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;H
1491875;838564;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;20;Place individuelle;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;H
1491876;838565;02/06/15 00:00;10:28:43;498;REPETITION;3377;REPETITION;09/06/15;20:00:00;09/06/15;22:00:00;17;Place individuelle;DIGITICK;BONNASSSIEUX;ANDREAS;ANDREAS.BONNASSSIEUX@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;H
1491877;838571;02/06/15 00:00;10:28:43;497;QUARTETT;3375;QUARTETT;05/06/15;20:00:00;05/06/15;21:00:00;20;Place individuelle;DIGITICK;CHASTAN;MARCO;MARCO.CHASTAN@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;69;H
1491878;838580;02/06/15 00:00;10:28:43;497;QUARTETT;3375;QUARTETT;05/06/15;20:00:00;05/06/15;21:00:00;20;Place individuelle;DIGITICK;CHAREL;SHEILA;SHEILA.CHAREL@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;
1491879;838580;02/06/15 00:00;10:28:43;497;QUARTETT;3375;QUARTETT;05/06/15;20:00:00;05/06/15;21:00:00;20;Place individuelle;DIGITICK;CHAREL;SHEILA;SHEILA.CHAREL@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;
1491880;838581;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;20;Place individuelle;DIGITICK;PESSINE;claire;claire.PESSINE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;F
1491881;838582;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;20;Place individuelle;DIGITICK;LACHAUD;Malgorzata;Malgorzata.LACHAUD@mail.fr;32 avenue Dasyprocta punctata;69007;France;;F
1491882;838607;02/06/15 00:00;10:28:43;498;REPETITION;3377;REPETITION;09/06/15;20:00:00;09/06/15;22:00:00;17;Place individuelle;DIGITICK;LIPSON;Tanja;Tanja.LIPSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;H
1491883;838607;02/06/15 00:00;10:28:43;498;REPETITION;3377;REPETITION;09/06/15;20:00:00;09/06/15;22:00:00;17;Place individuelle;DIGITICK;LIPSON;Tanja;Tanja.LIPSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;H
1491884;838626;02/06/15 00:00;10:28:43;498;REPETITION;3378;REPETITION;10/06/15;20:00:00;10/06/15;22:00:00;17;Place individuelle;DIGITICK;MINGASSON;Darren;Darren.MINGASSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;F
1491885;838626;02/06/15 00:00;10:28:43;498;REPETITION;3378;REPETITION;10/06/15;20:00:00;10/06/15;22:00:00;17;Place individuelle;DIGITICK;MINGASSON;Darren;Darren.MINGASSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;F
1491886;838627;02/06/15 00:00;10:28:43;497;QUARTETT;3375;QUARTETT;05/06/15;20:00:00;05/06/15;21:00:00;12;Place individuelle;DIGITICK;COLINDRE;Emma;Emma.COLINDRE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491887;838635;02/06/15 00:00;10:28:43;497;QUARTETT;3373;QUARTETT;03/06/15;20:00:00;03/06/15;21:00:00;12;Place individuelle;DIGITICK;LAFARGUE;Marie Claude;Marie Claude.LAFARGUE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491888;838635;02/06/15 00:00;10:28:43;497;QUARTETT;3373;QUARTETT;03/06/15;20:00:00;03/06/15;21:00:00;12;Place individuelle;DIGITICK;LAFARGUE;Marie Claude;Marie Claude.LAFARGUE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491889;838636;02/06/15 00:00;10:28:43;498;REPETITION;3378;REPETITION;10/06/15;20:00:00;10/06/15;22:00:00;17;Place individuelle;DIGITICK;MANGOT;Tanguy;Tanguy.MANGOT@mail.fr;8 impasse Delphinapterus leucas;69008;France;;H
1491890;838636;02/06/15 00:00;10:28:43;498;REPETITION;3378;REPETITION;10/06/15;20:00:00;10/06/15;22:00:00;17;Place individuelle;DIGITICK;MANGOT;Tanguy;Tanguy.MANGOT@mail.fr;8 impasse Delphinapterus leucas;69008;France;;H
1491891;838668;02/06/15 00:00;10:28:43;498;REPETITION;3381;REPETITION;13/06/15;20:00:00;13/06/15;22:00:00;23;Place individuelle;DIGITICK;THIEN;Michel-Hubert;Michel-Hubert.THIEN@mail.fr;8 impasse Delphinapterus leucas;69008;France;;H
1491892;838668;02/06/15 00:00;10:28:43;498;REPETITION;3381;REPETITION;13/06/15;20:00:00;13/06/15;22:00:00;23;Place individuelle;DIGITICK;THIEN;Michel-Hubert;Michel-Hubert.THIEN@mail.fr;8 impasse Delphinapterus leucas;69008;France;;H
1491893;838687;02/06/15 00:00;10:28:43;497;QUARTETT;3374;QUARTETT;04/06/15;20:00:00;04/06/15;21:00:00;20;Place individuelle;DIGITICK;SAULNIER;LEO;LEO.SAULNIER@mail.fr;8 impasse Delphinapterus leucas;69008;France;;F
1491894;838741;02/06/15 00:00;12:17:12;555;VILLA + DISCURSO;3721;VILLA + DISCURSO;06/04/16;20:30:00;06/04/16;21:30:00;19;Place individuelle;GUICHET;BROCHU;Steeve;Steeve.BROCHU@mail.fr;8 impasse Delphinapterus leucas;69008;France;50;F
1491895;838741;02/06/15 00:00;12:17:12;555;VILLA + DISCURSO;3721;VILLA + DISCURSO;06/04/16;20:30:00;06/04/16;21:30:00;19;Place individuelle;GUICHET;BROCHU;Steeve;Steeve.BROCHU@mail.fr;8 impasse Delphinapterus leucas;69008;France;50;F
1491896;838742;02/06/15 00:00;12:18:17;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;COLLIN;NICOLA;NICOLA.COLLIN@mail.fr;8 impasse Delphinapterus leucas;69008;France;62;F
